cost,weight,type
0.5791703061682888,0.8191559853618062,1.0
0.6745413160783895,0.5622967343465479,1.0
0.7359130756284037,0.6465148892286827,1.0
0.8958341917197048,0.6115330996964334,1.0
0.7736469506453753,0.763013422400765,1.0
0.9597975569616467,0.8490012019182601,1.0
0.7144271048915245,0.7363416177283965,1.0
0.5517737710530631,0.5798239869073004,1.0
0.7243383035581803,0.6318905110110038,1.0
0.6630649736595242,0.6025009454409157,1.0
0.8847537095267087,0.6308426921637382,1.0
0.7723095923591646,0.8204444963356563,1.0
0.560075686272931,0.5454777495349328,1.0
0.7733955952276257,0.6779978076849791,1.0
0.8138986194236678,0.45141695834002366,1.0
0.6307896404362388,0.6178370507529772,1.0
0.7012650306950237,0.7569541716097599,1.0
0.6624732145858571,0.6697373639299296,1.0
0.7834216167648091,0.6422208253698242,1.0
0.5368729921095721,0.6731759691697535,1.0
0.7313617708188673,0.7866922228763276,1.0
0.7298530756216122,0.7051440652360433,1.0
0.7068761271702462,0.6038858403182248,1.0
0.6777022678038391,0.7128251248948991,1.0
0.7199998098493298,0.742922219160656,1.0
0.7374618552661384,0.7145476234559877,1.0
0.661832358317984,0.6592555968825781,1.0
0.718349993264689,0.5577702128035382,1.0
0.6638986897600135,0.6246112562895023,1.0
0.7231331412197125,0.5734742086164502,1.0
0.7356765684556239,0.4178472344700768,1.0
0.5634568999008553,0.7324346876653618,1.0
0.7448941076624365,0.6626995598372571,1.0
0.7563016659866684,0.7546996289632791,1.0
0.597309365585086,0.7983038656916402,1.0
0.7063749734359032,0.42371355763596563,1.0
0.625525069304341,0.5748067643020508,1.0
0.6832212139655388,0.7339780367903878,1.0
0.7092181407038323,0.5522846197127353,1.0
0.6167376538249807,0.7851821260838394,1.0
0.6151028431357377,0.6914173469434701,1.0
0.533639977160576,0.6371058794324017,1.0
0.8040432944942505,0.7333061281042761,1.0
0.6740273878085583,0.7373719605824631,1.0
0.7970885555441997,0.6335142174028657,1.0
0.6719252115098783,0.711059746857393,1.0
0.6104567491870457,0.9260767407196749,1.0
0.6271780267705951,0.5790828583379324,1.0
